vehicle_id,evaluation_timestamp,prediction_horizon,label_source,review_status,matched_normal_window,speed,speed_limit,event_type,gps_freshness,traffic_level,weather,zone_historical_risk,restriction_level,slow_down_zone_active,pedestrian_exposure,speed_over_limit,speed_over_limit_band,speeding_ratio_5m,speeding_ratio_10m,mean_speed_5m,mean_speed_30m,max_speed_5m,speed_std_10m,speed_delta_last_3_events,harsh_brake_count_10m,sharp_turn_count_10m,recent_harsh_brake_count_10m,recent_sharp_turn_count_10m,alert_density_30m,risk_escalation_rate,shift_hours,night_flag,time_since_last_intervention,reaction_window_active,post_intervention_noncompliance,traffic_weather_compound_index,zone_transition_risk,nearby_vehicle_count_50m,nearest_vehicle_distance_m,nearest_vehicle_relative_speed_kmh,closing_rate_mps,interaction_features_available,previous_risk,risk_trend,latent_synthetic_risk,near_miss_within_next_15m,intervention_contaminated_window
PM-SYN-000,2026-08-19T07:40:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,21,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.333,0.4,24.67,26.8,29.0,3.5,-8.0,1,0,1,0,6.0,0.0,0.5,False,999.0,False,False,0.5,0.35,1,46.9,7.4,0.0,True,0.123,decreasing,0.073,0,False
PM-SYN-000,2026-08-19T07:42:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,23,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.0,0.2,22.67,25.73,24.0,2.68,-1.0,1,0,1,0,6.0,0.007,0.53,False,999.0,False,False,0.5,0.35,3,21.0,18.4,1.41,True,0.073,stable,0.317,0,False
PM-SYN-000,2026-08-19T07:44:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,25,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.0,0.2,23.0,25.8,25.0,2.65,4.0,0,0,0,0,6.0,0.0,0.57,False,999.0,False,False,0.5,0.35,1,13.1,0.8,1.35,True,0.317,decreasing,0.099,0,False
PM-SYN-000,2026-08-19T07:46:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,24,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.0,0.0,24.0,25.07,25.0,1.36,1.0,0,0,0,0,4.0,0.0,0.6,False,999.0,False,False,0.5,0.35,1,25.5,4.5,0.41,True,0.099,decreasing,0.038,0,False
PM-SYN-000,2026-08-19T07:48:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,17,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.0,0.0,22.0,24.8,25.0,2.83,-8.0,0,0,0,0,4.0,0.0,0.63,False,999.0,False,False,0.5,0.35,1,10.8,7.6,2.31,True,0.038,stable,0.103,0,False
PM-SYN-000,2026-08-19T07:50:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,20,25,normal_update,delayed,medium,rain,0.72,caution,False,medium,0,none,0.0,0.0,20.33,24.87,24.0,2.93,-4.0,0,0,0,0,4.0,0.0,0.67,False,999.0,False,False,0.5,0.35,2,24.4,8.1,1.01,True,0.103,decreasing,0.117,0,False
PM-SYN-000,2026-08-19T07:52:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,27,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,2,minor,0.333,0.2,21.33,25.13,27.0,3.61,10.0,0,0,0,0,4.0,0.0,0.7,False,999.0,False,False,0.5,0.35,1,19.1,7.0,2.9,True,0.117,stable,0.151,0,False
PM-SYN-000,2026-08-19T07:54:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,28,25,normal_update,delayed,medium,rain,0.72,caution,False,medium,3,minor,0.667,0.4,25.0,25.33,28.0,4.17,8.0,0,0,0,0,4.0,0.0,0.73,False,999.0,False,False,0.5,0.35,1,42.6,9.5,0.19,True,0.151,stable,0.054,0,False
PM-SYN-000,2026-08-19T07:56:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,32,25,speeding,fresh,medium,rain,0.72,caution,False,medium,7,minor,1.0,0.6,29.0,25.2,32.0,5.49,5.0,0,0,0,0,4.0,0.226,0.77,False,999.0,False,True,0.5,0.35,3,37.4,11.0,0.69,True,0.054,increasing,0.186,0,False
PM-SYN-000,2026-08-19T07:58:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,30,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,5,minor,1.0,0.8,30.0,25.87,32.0,4.08,2.0,0,0,0,0,4.0,0.014,0.8,False,999.0,False,False,0.5,0.35,1,31.2,9.0,0.53,True,0.186,stable,0.194,0,False
PM-SYN-000,2026-08-19T08:00:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,24,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.667,0.8,28.67,25.13,32.0,2.71,-8.0,0,0,0,0,4.0,0.0,0.83,False,999.0,False,False,0.5,0.35,2,20.6,7.0,0.91,True,0.194,decreasing,0.209,0,False
PM-SYN-000,2026-08-19T08:02:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,28,25,normal_update,delayed,medium,rain,0.72,caution,False,medium,3,minor,0.667,0.8,27.33,25.0,30.0,2.65,-2.0,0,0,0,0,4.0,0.0,0.87,False,999.0,False,False,0.5,0.35,1,25.5,2.9,0.28,True,0.209,decreasing,0.223,0,False
PM-SYN-000,2026-08-19T08:04:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,33,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,8,minor,0.667,0.8,28.33,25.67,33.0,3.2,9.0,0,0,0,0,2.0,0.097,0.9,False,999.0,False,False,0.5,0.35,1,18.9,0.7,0.47,True,0.223,increasing,0.127,0,False
PM-SYN-000,2026-08-19T08:06:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,25,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.667,0.6,28.67,25.4,33.0,3.29,-3.0,0,0,0,0,2.0,0.0,0.93,False,999.0,False,False,0.5,0.35,0,999.0,0.0,0.0,False,0.127,decreasing,0.058,0,False
PM-SYN-000,2026-08-19T08:08:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,32,25,speeding,fresh,medium,rain,0.72,caution,False,medium,7,minor,0.667,0.6,30.0,25.93,33.0,3.61,-1.0,0,0,0,0,4.0,0.222,0.97,False,999.0,False,True,0.5,0.35,1,29.8,10.3,0.0,True,0.058,increasing,0.13,1,False
PM-SYN-000,2026-08-19T08:10:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,25,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.333,0.6,27.33,26.2,32.0,3.38,0.0,0,0,0,0,4.0,0.0,1.0,False,0,True,False,0.5,0.35,1,39.2,10.8,0.0,True,0.13,decreasing,0.135,1,False
PM-SYN-000,2026-08-19T08:12:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,26,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,1,minor,0.667,0.6,27.67,26.4,32.0,3.54,-6.0,0,0,0,0,4.0,0.0,1.03,False,2,False,False,0.5,0.35,2,40.1,13.0,0.0,True,0.135,decreasing,0.106,1,False
PM-SYN-000,2026-08-19T08:14:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,26,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,1,minor,0.667,0.6,25.67,26.47,26.0,2.64,1.0,0,0,0,0,4.0,0.0,1.07,False,4,False,False,0.5,0.35,1,16.9,4.3,0.56,True,0.106,decreasing,0.11,1,False
PM-SYN-000,2026-08-19T08:16:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,24,25,stale_gps,stale,medium,rain,0.72,caution,False,medium,0,none,0.667,0.6,25.33,26.47,26.0,2.8,-2.0,0,0,0,0,6.0,0.0,1.1,False,0,True,False,0.5,0.35,0,999.0,0.0,0.0,False,0.11,decreasing,0.121,1,False
PM-SYN-000,2026-08-19T08:18:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,36,25,normal_update,delayed,medium,rain,0.72,caution,False,medium,11,moderate,0.667,0.6,28.67,27.73,36.0,4.36,10.0,0,0,0,0,6.0,0.319,1.13,False,2,False,False,0.5,0.35,1,18.2,6.9,1.16,True,0.121,increasing,0.319,1,False
PM-SYN-000,2026-08-19T08:20:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,27,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,2,minor,0.667,0.8,29.0,28.2,36.0,4.21,3.0,0,0,0,0,6.0,0.0,1.17,False,4,False,False,0.5,0.35,1,34.7,3.4,1.48,True,0.319,decreasing,0.192,1,False
PM-SYN-000,2026-08-19T08:22:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,22,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.667,0.6,28.33,27.87,36.0,4.82,-14.0,0,0,0,0,6.0,0.0,1.2,False,0,True,False,0.5,0.35,1,25.2,0.6,0.0,True,0.192,decreasing,0.101,1,False
PM-SYN-000,2026-08-19T08:24:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,26,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,1,minor,0.667,0.6,25.0,27.73,27.0,4.82,-1.0,0,0,0,0,6.0,0.0,1.23,False,2,False,False,0.5,0.35,3,21.4,10.5,0.06,True,0.101,decreasing,0.23,1,False
PM-SYN-000,2026-08-19T08:26:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,30,25,speeding,delayed,medium,rain,0.72,caution,False,medium,5,minor,0.667,0.8,26.0,27.6,30.0,4.66,8.0,0,0,0,0,6.0,0.0,1.27,False,0,True,False,0.5,0.35,3,15.8,5.1,0.37,True,0.23,stable,0.176,1,False
PM-SYN-000,2026-08-19T08:28:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,21,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.667,0.6,25.67,27.0,30.0,3.31,-5.0,0,0,0,0,6.0,0.0,1.3,False,2,False,False,0.5,0.35,2,10.0,7.0,2.66,True,0.176,decreasing,0.296,1,False
